index,LotArea,StreetP,StreetG,UtilitiesALL,UtilitiesNSW,OQualPO,OQualFA,OQualTA,OQualGD,OQualEX,YearBuilt,TotalBsmtSF,Bathrooms,HeatingWall,HeatingOthw,HeatingGrav,HeatingGasW,HeatingGasA,HeatingFloor,CentralAir,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQualPO,KitchenQualFA,KitchenQualTA,KitchenQualGD,KitchenQualEX,Fireplaces,GarageArea,PavedDrive,PoolArea,PavedDriveP,PavedDrive1,Fence,SalePrice
39,6040,1,0,1,0,0,0,1,0,0,1955,0,2,0,0,0,0,1,0,0,1152,2,2,0,1,0,0,0,0,0,1,0,0,0,0,82000
40,8658,1,0,1,0,0,0,1,0,0,1965,1088,2,0,0,0,0,1,0,1,1324,3,1,0,0,1,0,0,1,440,0,0,0,1,1,160000
41,16905,1,0,1,0,0,0,0,1,0,1959,1350,2,0,0,0,0,1,0,1,1328,2,1,0,0,1,0,0,1,308,0,0,1,0,0,170000
42,9180,1,0,1,0,0,0,0,1,0,1983,840,1,0,0,0,0,1,0,1,884,2,1,0,0,0,1,0,0,504,0,0,0,1,1,144000
43,9200,1,0,1,0,0,0,0,1,0,1975,938,1,0,0,0,0,1,0,1,938,3,1,0,0,1,0,0,0,308,0,0,0,1,1,130250
44,7945,1,0,1,0,0,0,0,1,0,1959,1150,1,0,0,0,0,1,0,1,1150,3,1,0,0,1,0,0,0,300,0,0,0,1,0,141000
45,7658,1,0,1,0,0,0,1,0,0,2005,1752,2,0,0,0,0,1,0,1,1752,2,1,0,0,0,0,1,1,576,0,0,0,1,0,319900
46,12822,1,0,1,0,0,0,1,0,0,2003,1434,2,0,0,0,0,1,0,1,2149,1,1,0,0,0,1,0,1,670,0,0,0,1,0,239686
47,11096,1,0,1,0,0,0,1,0,0,2006,1656,2,0,0,0,0,1,0,1,1656,3,1,0,0,0,1,0,0,826,0,0,0,1,0,249700
48,4456,1,0,1,0,0,0,1,0,0,1920,736,2,0,0,0,0,1,0,1,1452,2,3,0,0,1,0,0,0,0,1,0,0,0,0,113000
49,7742,1,0,1,0,0,0,0,1,0,1966,955,1,0,0,0,0,1,0,1,955,3,1,0,0,1,0,0,0,386,0,0,0,1,1,127000
50,13869,1,0,1,0,0,0,0,1,0,1997,794,2,0,0,0,0,1,0,1,1470,3,1,0,0,1,0,0,0,388,0,0,0,1,0,177000
51,6240,1,0,1,0,0,0,0,1,0,1934,816,1,0,0,0,0,1,0,1,1176,3,1,0,0,1,0,0,1,528,0,0,0,1,1,114500
52,8472,0,1,1,0,0,0,1,0,0,1963,816,1,0,0,0,0,1,0,0,816,2,1,0,0,1,0,0,0,516,0,0,0,1,0,110000
53,50271,1,0,1,0,0,0,1,0,0,1981,1842,1,0,0,0,0,1,0,1,1842,0,1,0,0,0,1,0,1,894,0,0,0,1,0,385000
54,7134,1,0,1,0,0,0,1,0,0,1955,384,1,0,0,0,0,1,0,1,1360,3,1,0,0,1,0,0,1,572,0,0,0,1,1,130000
55,10175,1,0,1,0,0,0,1,0,0,1964,1425,2,0,0,0,0,1,0,1,1425,3,1,0,0,1,0,0,1,576,0,0,0,1,0,180500
56,2645,1,0,1,0,0,0,1,0,0,1999,970,3,0,0,0,0,1,0,1,1739,3,1,0,0,0,1,0,0,480,0,0,0,1,0,172500
57,11645,1,0,1,0,0,0,1,0,0,2004,860,3,0,0,0,0,1,0,1,1720,3,1,0,0,0,1,0,0,565,0,0,0,1,0,196500
58,13682,1,0,1,0,0,0,1,0,0,2006,1410,4,0,0,0,0,1,0,1,2945,3,1,0,0,0,1,0,1,641,0,0,0,1,0,438780
59,7200,1,0,1,0,0,0,0,1,0,1972,780,1,0,0,0,0,1,0,1,780,2,1,0,0,1,0,0,0,352,0,0,0,1,1,124900
60,13072,1,0,1,0,0,0,1,0,0,2004,1158,2,0,0,0,0,1,0,1,1158,3,1,0,0,0,1,0,0,576,0,0,0,1,0,158000
61,7200,1,0,1,0,0,0,0,1,0,1920,530,1,0,0,0,0,1,0,0,1111,3,1,0,1,0,0,0,0,288,1,0,0,0,0,101000
62,6442,1,0,1,0,0,0,1,0,0,2006,1370,2,0,0,0,0,1,0,1,1370,2,1,0,0,0,1,0,1,484,0,0,0,1,0,202500
63,10300,1,0,1,0,0,0,0,1,0,1921,576,2,0,0,0,0,1,0,1,1710,3,1,0,0,1,0,0,0,480,0,0,0,1,1,140000
64,9375,1,0,1,0,0,0,1,0,0,1997,1057,3,0,0,0,0,1,0,1,2034,3,1,0,0,0,1,0,0,645,0,0,0,1,1,219500
65,9591,1,0,1,0,0,0,1,0,0,2004,1143,3,0,0,0,0,1,0,1,2473,4,1,0,0,0,1,0,1,852,0,0,0,1,0,317000
66,19900,1,0,1,0,0,0,1,0,0,1970,1947,2,0,0,0,0,1,0,1,2207,3,1,0,0,1,0,0,1,576,0,0,0,1,0,180000
67,10665,1,0,1,0,0,0,1,0,0,2003,1453,2,0,0,0,0,1,0,1,1479,3,1,0,0,0,1,0,0,558,0,0,0,1,0,226000
68,4608,1,0,1,0,0,0,0,1,0,1945,747,1,0,0,0,0,1,0,1,747,2,1,0,0,1,0,0,0,220,0,0,0,1,0,80000
69,15593,1,0,1,0,0,0,1,0,0,1953,1304,2,0,0,0,1,0,0,1,2287,3,1,0,0,1,0,0,1,667,0,0,0,1,0,225000
70,13651,1,0,1,0,0,0,0,1,0,1973,2223,2,0,0,0,0,1,0,1,2223,3,1,0,0,1,0,0,1,516,0,0,0,1,0,244000
71,7599,1,0,1,0,0,0,0,1,0,1982,845,1,0,0,0,0,1,0,1,845,2,1,0,0,1,0,0,0,360,0,0,0,1,0,129500
72,10141,1,0,1,0,0,0,1,0,0,1998,832,3,0,0,0,0,1,0,1,1718,3,1,0,0,1,0,0,1,427,0,0,0,1,0,185000
73,10200,1,0,1,0,0,0,0,1,0,1954,1086,1,0,0,0,0,1,0,1,1086,3,1,0,0,1,0,0,0,490,0,0,0,1,1,144900
74,5790,1,0,1,0,0,0,0,1,0,1915,840,2,0,0,0,0,1,0,0,1605,3,2,0,0,1,0,0,0,379,0,0,0,1,0,107400
75,1596,1,0,1,0,0,0,1,0,0,1973,462,1,0,0,0,0,1,0,1,988,2,1,0,0,1,0,0,0,297,0,0,0,1,1,91000
76,8475,1,0,1,0,0,0,0,1,0,1956,952,1,0,0,0,0,1,0,1,952,2,1,0,0,1,0,0,0,283,0,0,0,1,0,135750
77,8635,1,0,1,0,0,0,1,0,0,1948,672,1,0,0,0,0,1,0,1,1285,2,1,0,0,1,0,0,0,240,0,0,0,1,1,127000
78,10778,1,0,1,0,0,0,1,0,0,1968,1768,2,0,0,0,0,1,0,0,1768,4,2,0,0,1,0,0,0,0,0,0,0,1,0,136500
79,10440,1,0,1,0,0,0,0,1,0,1910,440,2,0,0,0,0,1,0,1,1230,2,1,0,0,1,0,0,0,440,0,0,0,1,1,110000
80,13000,1,0,1,0,0,0,0,1,0,1968,896,3,0,0,0,0,1,0,1,2142,4,1,0,0,0,1,0,1,509,0,0,0,1,0,193500
81,4500,1,0,1,0,0,0,1,0,0,1998,1237,2,0,0,0,0,1,0,1,1337,2,1,0,0,1,0,0,0,405,0,0,0,1,0,153500
82,10206,1,0,1,0,0,0,1,0,0,2007,1563,2,0,0,0,0,1,0,1,1563,3,1,0,0,0,1,0,1,758,0,0,0,1,0,245000
83,8892,1,0,1,0,0,0,1,0,0,1960,1065,2,0,0,0,0,1,0,1,1065,3,1,0,0,1,0,0,0,461,0,0,0,1,0,126500
84,8530,1,0,1,0,0,0,1,0,0,1995,384,3,0,0,0,0,1,0,1,1474,3,1,0,0,1,0,0,1,400,0,0,0,1,0,168500
85,16059,1,0,1,0,0,0,1,0,0,1991,1288,3,0,0,0,0,1,0,1,2417,4,1,0,0,0,1,0,1,462,0,0,0,1,0,260000
86,11911,1,0,1,0,0,0,1,0,0,2005,684,3,0,0,0,0,1,0,1,1560,3,1,0,0,0,1,0,1,400,0,0,0,1,0,174000
87,3951,1,0,1,0,0,0,1,0,0,2009,612,3,0,0,0,0,1,0,1,1224,2,1,0,0,0,1,0,0,528,0,0,0,1,0,164500
88,8470,1,0,1,0,0,1,0,0,0,1915,1013,1,0,0,0,0,1,0,0,1526,2,1,0,1,0,0,0,0,0,1,0,0,0,1,85000
89,8070,1,0,1,0,0,0,1,0,0,1994,990,1,0,0,0,0,1,0,1,990,3,1,0,0,1,0,0,0,0,0,0,0,1,0,123600
90,7200,1,0,1,0,0,0,1,0,0,1950,0,1,0,0,0,0,1,0,1,1040,2,1,0,0,1,0,0,0,420,0,0,0,1,0,109900
91,8500,1,0,1,0,0,1,0,0,0,1961,1235,1,0,0,0,0,1,0,1,1235,2,1,0,0,1,0,0,0,480,0,0,0,1,1,98600
92,13360,1,0,1,0,0,0,0,1,0,1921,876,1,0,0,0,0,1,0,1,964,2,1,0,0,1,0,0,0,432,0,0,0,1,0,163500
93,7200,1,0,1,0,0,0,0,1,0,1910,1214,2,0,0,0,1,0,0,0,2291,4,2,0,0,1,0,0,1,506,0,0,0,1,0,133900
94,9337,1,0,1,0,0,0,1,0,0,1997,824,3,0,0,0,0,1,0,1,1786,3,1,0,0,0,1,0,0,684,0,0,0,1,0,204750
95,9765,1,0,1,0,0,0,0,0,1,1993,680,3,0,0,0,0,1,0,1,1470,3,1,0,0,1,0,0,1,420,0,0,0,1,0,185000
96,10264,1,0,1,0,0,0,1,0,0,1999,1588,2,0,0,0,0,1,0,1,1588,3,1,0,0,0,1,0,0,472,0,0,0,1,0,214000
97,10921,1,0,1,0,0,0,1,0,0,1965,960,1,0,0,0,0,1,0,1,960,3,1,0,0,1,0,0,0,432,0,0,1,0,0,94750
98,10625,1,0,1,0,0,0,1,0,0,1920,458,1,0,0,0,0,1,0,0,835,2,1,0,0,1,0,0,0,366,0,0,0,1,0,83000
99,9320,1,0,1,0,0,0,1,0,0,1959,950,2,0,0,0,0,1,0,1,1225,3,1,0,0,1,0,0,0,0,0,0,0,1,0,128950
100,10603,1,0,1,0,0,0,0,1,0,1977,1610,2,0,0,0,0,1,0,1,1610,3,1,0,0,0,1,0,1,480,0,0,0,1,0,205000
101,9206,1,0,1,0,0,0,1,0,0,1985,741,3,0,0,0,0,1,0,1,1732,3,1,0,0,0,1,0,1,476,0,0,0,1,0,178000
102,7018,1,0,1,0,0,0,1,0,0,1979,0,2,0,0,0,0,1,0,1,1535,4,2,0,0,1,0,0,0,410,0,0,0,1,0,118964
103,10402,1,0,1,0,0,0,1,0,0,2009,1226,2,0,0,0,0,1,0,1,1226,3,1,0,0,0,1,0,0,740,0,0,0,1,0,198900
104,7758,1,0,1,0,0,0,1,0,0,1931,1040,2,0,0,0,0,1,0,1,1818,4,1,0,0,1,0,0,1,240,0,0,0,1,0,169500
105,9375,1,0,1,0,0,0,1,0,0,2003,1053,3,0,0,0,0,1,0,1,1992,3,1,0,0,0,1,0,1,648,0,0,0,1,0,250000
106,10800,1,0,1,0,0,0,0,1,0,1885,641,1,0,0,0,0,1,0,1,1047,2,1,0,0,1,0,0,0,273,1,0,0,0,0,100000
107,6000,1,0,1,0,0,0,1,0,0,1948,789,1,0,0,0,0,1,0,1,789,2,1,0,0,1,0,0,0,250,0,0,0,1,0,115000
108,8500,1,0,1,0,0,0,0,1,0,1919,793,2,0,0,0,1,0,0,0,1517,3,1,0,1,0,0,0,0,0,1,0,0,0,0,115000
109,11751,1,0,1,0,0,0,0,1,0,1977,1844,2,0,0,0,0,1,0,1,1844,3,1,0,0,1,0,0,1,546,0,0,0,1,1,190000
110,9525,1,0,1,0,0,0,1,0,0,1954,994,2,0,0,0,0,1,0,1,1855,4,1,0,0,1,0,0,0,325,0,0,0,1,0,136900
111,7750,1,0,1,0,0,0,1,0,0,2000,384,3,0,0,0,0,1,0,1,1430,3,1,0,0,1,0,0,1,400,0,0,0,1,0,180000
112,9965,1,0,1,0,0,0,1,0,0,2007,1264,3,0,0,0,0,1,0,1,2696,4,1,0,0,0,0,1,1,792,0,0,0,1,0,383970
113,21000,1,0,1,0,0,0,1,0,0,1953,1809,2,0,0,0,0,1,0,1,2259,3,1,0,0,0,1,0,1,450,0,0,0,1,1,217000
114,7259,1,0,1,0,0,0,0,0,1,1945,1028,3,0,0,0,0,1,0,1,2320,3,1,0,0,0,1,0,1,180,0,0,0,1,1,259500
115,3230,1,0,1,0,0,0,1,0,0,1999,729,3,0,0,0,0,1,0,1,1458,2,1,0,0,1,0,0,1,440,0,0,0,1,0,176000
116,11616,1,0,1,0,0,0,1,0,0,1962,1092,1,0,0,0,0,1,0,1,1092,3,1,0,0,1,0,0,1,288,0,0,0,1,0,139000
117,8536,1,0,1,0,0,0,1,0,0,2006,1125,2,0,0,0,0,1,0,1,1125,2,1,0,0,1,0,0,0,430,0,0,0,1,0,155000
118,12376,1,0,1,0,0,0,1,0,0,1990,1673,3,0,0,0,0,1,0,1,3222,5,1,0,0,0,1,0,1,594,0,0,0,1,0,320000
119,8461,1,0,1,0,0,0,1,0,0,2005,728,3,0,0,0,0,1,0,1,1456,3,1,0,0,0,1,0,1,390,0,0,0,1,0,163990
120,21453,1,0,1,0,0,0,1,0,0,1969,938,1,0,0,0,0,1,0,1,988,1,1,0,0,1,0,0,1,540,0,0,0,1,0,180000
121,6060,1,0,1,0,0,0,1,0,0,1939,732,1,0,0,0,0,1,0,1,1123,3,1,0,0,1,0,0,0,264,0,0,1,0,1,100000
122,9464,1,0,1,0,0,0,0,1,0,1958,1080,1,0,0,0,0,1,0,1,1080,3,1,0,0,1,0,0,0,288,0,0,0,1,0,136000
123,7892,1,0,1,0,0,0,1,0,0,1993,1199,2,0,0,0,0,1,0,1,1199,2,1,0,0,0,1,0,0,530,0,0,0,1,0,153900
124,17043,1,0,1,0,0,0,1,0,0,1979,1362,2,0,0,0,0,1,0,1,1586,3,1,0,0,1,0,0,1,435,0,0,0,1,0,181000
125,6780,1,0,1,0,0,0,0,0,1,1935,520,1,0,0,0,0,1,0,0,754,2,1,0,0,1,0,0,0,0,1,0,0,0,0,84500
126,4928,1,0,1,0,0,0,1,0,0,1976,1078,2,0,0,0,0,1,0,1,958,2,1,0,0,1,0,0,1,440,0,0,0,1,0,128000
127,4388,1,0,1,0,0,0,0,1,0,1930,672,1,0,0,0,0,1,0,1,840,3,1,0,0,1,0,0,1,0,1,0,0,0,0,87000
128,7590,1,0,1,0,0,0,1,0,0,1966,660,2,0,0,0,0,1,0,1,1348,3,1,0,0,1,0,0,1,453,0,0,0,1,0,155000
129,8973,1,0,1,0,0,0,0,1,0,1958,1008,2,0,0,0,0,1,0,1,1053,3,1,0,0,0,0,1,0,750,0,0,0,1,1,150000
130,14200,1,0,1,0,0,0,0,1,0,1966,924,3,0,0,0,0,1,0,1,2157,4,1,0,0,0,1,0,1,487,0,0,0,1,1,226000
131,12224,1,0,1,0,0,0,1,0,0,2000,992,3,0,0,0,0,1,0,1,2054,3,1,0,0,0,1,0,1,390,0,0,0,1,0,244000
132,7388,1,0,1,0,0,0,0,1,0,1959,1063,1,0,0,0,0,1,0,1,1327,3,1,0,0,0,1,0,0,624,0,0,0,1,0,150750
133,6853,1,0,1,0,0,0,1,0,0,2001,1267,2,0,0,0,0,1,0,1,1296,2,1,0,0,0,1,0,0,471,0,0,0,1,0,220000
134,10335,1,0,1,0,0,0,0,1,0,1968,1461,3,0,0,0,0,1,0,1,1721,3,1,0,0,1,0,0,1,440,0,0,0,1,1,180000
135,10400,1,0,1,0,0,0,0,1,0,1970,1304,2,0,0,0,0,1,0,1,1682,3,1,0,0,1,0,0,1,530,0,0,0,1,1,174000
136,10355,1,0,1,0,0,0,1,0,0,1967,1214,2,0,0,0,0,1,0,1,1214,3,1,0,0,1,0,0,1,318,0,0,0,1,0,143000
137,11070,1,0,1,0,0,0,1,0,0,1988,1907,3,0,0,0,0,1,0,1,1959,5,2,0,0,1,0,0,0,766,0,0,0,1,0,171000
138,9066,1,0,1,0,0,0,1,0,0,1999,1004,3,0,0,0,0,1,0,1,1852,3,1,0,0,0,1,0,1,660,0,0,0,1,1,230000
139,15426,1,0,1,0,0,0,1,0,0,1997,928,3,0,0,0,0,1,0,1,1764,3,1,0,0,0,1,0,0,470,0,0,0,1,1,231500
140,10500,1,0,1,0,0,0,1,0,0,1971,864,1,0,0,0,0,1,0,1,864,3,1,0,0,1,0,0,1,0,0,0,0,1,0,115000
141,11645,1,0,1,0,0,0,1,0,0,2005,1734,2,0,0,0,0,1,0,1,1734,3,1,0,0,0,1,0,0,660,0,0,0,1,0,260000
142,8520,1,0,1,0,0,0,1,0,0,1952,910,2,0,0,0,0,1,0,1,1385,4,1,0,0,1,0,0,0,720,0,0,0,1,1,166000
143,10335,1,0,1,0,0,0,1,0,0,1999,1490,2,0,0,0,0,1,0,1,1501,3,1,0,0,0,1,0,0,577,0,0,0,1,0,204000
144,9100,1,0,1,0,0,0,1,0,0,1963,1728,2,0,0,0,0,1,0,1,1728,6,2,0,0,1,0,0,0,504,0,0,0,1,0,125000
145,2522,1,0,1,0,0,0,1,0,0,2004,970,2,0,0,0,0,1,0,1,1709,3,1,0,0,0,1,0,0,380,0,0,0,1,0,130000
146,6120,1,0,1,0,0,0,0,1,0,1931,715,1,0,0,0,0,1,0,1,875,2,1,0,0,1,0,0,0,180,0,0,0,1,0,105000
147,9505,1,0,1,0,0,0,1,0,0,2001,884,3,0,0,0,0,1,0,1,2035,3,1,0,0,0,1,0,1,434,0,0,0,1,0,222500
148,7500,1,0,1,0,0,0,1,0,0,2004,1080,1,0,0,0,0,1,0,1,1080,3,1,0,0,0,1,0,0,0,0,0,0,1,0,141000
149,6240,1,0,1,0,0,0,1,0,0,1936,896,1,0,0,0,0,1,0,1,1344,3,1,0,0,1,0,0,0,240,0,0,0,1,0,115000
150,10356,1,0,1,0,0,0,0,1,0,1975,969,2,0,0,0,0,1,0,1,969,3,1,0,0,1,0,0,0,440,0,0,0,1,1,122000
151,13891,1,0,1,0,0,0,1,0,0,2007,1710,2,0,0,0,0,1,0,1,1710,2,1,0,0,0,1,0,1,866,0,0,0,1,0,372402
152,14803,1,0,1,0,0,0,1,0,0,1971,825,3,0,0,0,0,1,0,1,1993,4,1,0,0,1,0,0,1,495,0,0,0,1,1,190000
153,13500,1,0,1,0,0,0,0,1,0,1960,1602,1,0,0,0,0,1,0,1,1252,1,1,0,0,1,0,0,1,564,0,0,0,1,0,235000
154,11340,1,0,1,0,0,0,1,0,0,1923,1200,1,0,0,0,0,1,0,1,1200,4,1,0,0,1,0,0,0,312,0,0,0,1,0,125000
155,9600,1,0,1,0,0,0,1,0,0,1924,572,1,0,0,1,0,0,0,0,1096,2,1,0,0,1,0,0,0,0,1,0,0,0,0,79000
156,7200,1,0,1,0,0,0,0,1,0,1950,0,1,0,0,0,0,1,0,1,1040,2,1,0,0,1,0,0,0,625,0,0,0,1,0,109500
157,12003,1,0,1,0,0,0,1,0,0,2009,774,3,0,0,0,0,1,0,1,1968,4,1,0,0,0,0,1,1,680,0,0,0,1,0,269500
158,12552,1,0,1,0,0,0,1,0,0,2004,991,3,0,0,0,0,1,0,1,1947,3,1,0,0,0,1,0,1,678,0,0,0,1,1,254900
159,19378,1,0,1,0,0,0,1,0,0,2005,1392,3,0,0,0,0,1,0,1,2462,4,1,0,0,0,1,0,1,576,0,0,0,1,0,320000
160,11120,1,0,1,0,0,0,0,1,0,1984,1232,2,0,0,0,0,1,0,1,1232,3,1,0,0,1,0,0,0,516,0,0,0,1,0,162500
161,13688,1,0,1,0,0,0,1,0,0,2003,1572,3,0,0,0,0,1,0,1,2668,3,1,0,0,0,0,1,1,726,0,0,0,1,0,412500
162,12182,1,0,1,0,0,0,1,0,0,2005,1541,2,0,0,0,0,1,0,1,1541,3,1,0,0,0,1,0,1,532,0,0,0,1,0,220000
163,5500,1,0,1,0,0,0,0,1,0,1956,882,1,0,0,0,0,1,0,1,882,1,1,0,0,1,0,0,0,0,0,0,0,1,1,103200
164,5400,1,0,1,0,0,0,0,1,0,1926,1149,2,0,0,0,0,1,0,1,1616,3,1,0,0,0,1,0,0,216,0,0,0,1,0,152000
165,10106,1,0,1,0,0,0,0,1,0,1940,644,2,0,0,0,0,1,0,1,1355,4,2,0,0,1,0,0,0,0,0,0,0,1,0,127500
166,10708,1,0,1,0,0,0,1,0,0,1955,1617,1,0,0,0,0,1,0,1,1867,2,1,0,0,1,0,0,1,303,0,0,0,1,1,190000
167,10562,1,0,1,0,0,0,1,0,0,2007,1582,2,0,0,0,0,1,0,1,2161,3,1,0,0,0,0,1,1,789,0,0,0,1,0,325624
168,8244,1,0,1,0,0,0,1,0,0,2004,840,3,0,0,0,0,1,0,1,1720,3,1,0,0,0,1,0,1,440,0,0,0,1,0,183500
169,16669,1,0,1,0,0,0,0,1,0,1981,1686,3,0,0,0,0,1,0,1,1707,2,1,0,0,1,0,0,1,511,0,0,0,1,0,228000
170,12358,1,0,1,0,0,0,0,1,0,1941,720,2,0,0,0,0,1,0,1,1382,2,1,0,0,1,0,0,0,660,0,0,0,1,0,128500
